cal psi,current
1,0.004032197
1,0.004032952
1,0.004032622
1,0.004032351
1,0.004031906
1,0.004031625
1,0.004032582
1,0.004031806
1,0.004032585
1,0.004032176
1,0.004033878
1,0.004033406
1,0.00403237
1,0.004032357
1,0.004032184
1,0.004032884
1,0.004032923
1,0.004032409
1,0.004032215
1,0.004033209
1,0.004032189
1,0.004032388
1,0.004031835
1,0.004032716
1,0.004032454
1,0.004033697
1,0.004033052
1,0.0040321
1,0.004031814
1,0.004032881
1,0.004033212
1,0.004033424
1,0.004033702
1,0.004032393
1,0.004032805
1,0.004033424
1,0.004032939
1,0.004031447
1,0.004033275
1,0.004032304
1,0.00403318
1,0.004032268
1,0.004033102
1,0.004032907
1,0.00403371
1,0.004033254
1,0.004031444
1,0.004031898
1,0.004032637
1,0.004032186
1,0.004032443
1,0.004032614
1,0.004032488
1,0.004031835
1,0.004032698
1,0.004032968
1,0.004031945
1,0.004032603
1,0.004031347
1,0.004032892
1,0.004032991
1,0.00403249
1,0.004032564
1,0.004031856
1,0.004031541
1,0.004032598
1,0.004032142
1,0.004032842
1,0.004032952
1,0.004032939
1,0.004032247
1,0.004032569
1,0.004032407
1,0.004032438
1,0.004032247
1,0.004031945
1,0.004031156
1,0.004033264
1,0.004031906
1,0.004032333
1,0.004032622
1,0.004032708
1,0.004033136
1,0.004032905
1,0.004033015
1,0.004032233
1,0.004032905
1,0.004032546
1,0.004033159
1,0.004032493
1,0.004032435
1,0.004032949
1,0.004032595
1,0.004033332
1,0.004032585
1,0.004031793
1,0.00403371
1,0.004033445
1,0.004032113
1,0.004033094
1,0.004033663
1,0.004032509
1,0.004032362
1,0.004032713
1,0.004032391
1,0.004031725
1,0.004032244
1,0.004032029
1,0.004031573
1,0.004032915
1,0.004032173
1,0.004032918
1,0.004032024
1,0.004032118
1,0.004033637
1,0.004031727
1,0.00403237
1,0.004033401
1,0.004033015
1,0.004032375
1,0.004033222
1,0.004033081
1,0.004032771
1,0.004031919
1,0.004031914
1,0.004033794
1,0.004033057
1,0.004032409
1,0.004031604
1,0.004033248
1,0.004031885
1,0.004032894
1,0.004032629
1,0.004032826
1,0.004032519
1,0.004032409
1,0.004033183
1,0.004032304
1,0.004032936
1,0.004032692
1,0.004032525
1,0.004032357
1,0.004032011
1,0.004031376
1,0.004032
1,0.00403195
1,0.004031738
1,0.004032341
1,0.004032483
1,0.004032569
1,0.004032241
1,0.004032816
1,0.004032716
